id,item.id,buyout,unit_price,quantity,time_left,bid,rand,context,pet_species_id
981248127,68744,606200,,1,SHORT,,,,
981248144,68744,606200,,1,SHORT,,,,
981248175,68744,606200,,1,SHORT,,,,
981248195,68744,606200,,1,SHORT,,,,
981248209,68744,606200,,1,SHORT,,,,
981248226,68744,606200,,1,SHORT,,,,
981248262,68744,606200,,1,SHORT,,,,
981248290,68744,606200,,1,SHORT,,,,
981248459,6540,294200,,1,SHORT,,,,
981248482,6540,294200,,1,SHORT,,,,
981248495,6540,294200,,1,SHORT,,,,
981248691,90759,72659900,,1,SHORT,,,,
981248869,82800,1999900,,1,SHORT,,,,
981248980,87457,2009700,,1,SHORT,,,,
981249020,82800,790000,,1,SHORT,,,,
981249159,82800,14889800,,1,SHORT,,,,
981249239,90814,5001100,,1,SHORT,,,,
981249582,94065,11930200,,1,SHORT,,,,
981249826,25401,506500,,1,SHORT,,,,
981249980,82294,1587400,,1,SHORT,,,,
981250114,82271,54817700,,1,SHORT,,,,
981250296,68752,2813800,,1,SHORT,,,,
981250317,68752,2813800,,1,SHORT,,,,
981250336,68752,2813800,,1,SHORT,,,,
981250356,68752,2813800,,1,SHORT,,,,
981250569,9954,999900,,1,SHORT,,,,
981250600,9954,999900,,1,SHORT,,,,
981250755,13023,22260200,,1,SHORT,,,,
981250976,121332,1544400,,1,SHORT,,,,
981250998,121332,1544400,,1,SHORT,,,,
981251117,13040,5551300,,1,SHORT,,,,
981251223,158078,777100,,1,SHORT,,,,
981251245,158078,777100,,1,SHORT,,,,
981251262,158078,777100,,1,SHORT,,,,
981251263,206525,29999700,,1,SHORT,,,,
981251306,206525,29999700,,1,SHORT,,,,
981251329,206525,29999700,,1,SHORT,,,,
981251375,13013,753800,,1,SHORT,,,,
981251483,207568,30005100,,1,SHORT,,,,
981251626,207567,196449900,,1,SHORT,,,,
981251684,154801,2363000,,1,SHORT,,,,
981251711,154801,2363000,,1,SHORT,,,,
981251824,36486,1325100,,1,SHORT,,,,
981251844,121368,2858900,,1,SHORT,,,,
981251938,36612,14060900,,1,SHORT,,,,
981252037,25340,3714300,,1,SHORT,,,,
981252059,25340,3714300,,1,SHORT,,,,
981252075,36396,1280000,,1,SHORT,,,,
981252242,36374,1285000,,1,SHORT,,,,
981252356,36710,1490000,,1,SHORT,,,,
981252404,68750,4990100,,1,SHORT,,,,
981252434,68750,4990100,,1,SHORT,,,,
981252489,82800,1500000,,1,SHORT,,,,
981252580,154827,8549200,,1,SHORT,,,,
981252628,36285,793600,,1,SHORT,,,,
981252737,55602,10427500,,1,SHORT,,,,
981252748,121342,10942600,,1,SHORT,,,,
981252759,121342,10942600,,1,SHORT,,,,
981252899,7407,5410000,,1,SHORT,,,,
981253111,9747,408900,,1,SHORT,,,,
981253133,9747,408900,,1,SHORT,,,,
981253330,6266,648300,,1,SHORT,,,,
981253349,6266,648300,,1,SHORT,,,,
981253564,161072,77770000,,1,SHORT,,,,
981253587,161072,77770000,,1,SHORT,,,,
981253730,106290,193240400,,1,SHORT,,,,
981253859,7438,2145500,,1,SHORT,,,,
981253961,7461,13467600,,1,SHORT,,,,
981254132,188721,2000000,,1,SHORT,,,,
981254152,188721,2000000,,1,SHORT,,,,
981254382,25348,95000,,1,SHORT,,,,
981254397,25348,95000,,1,SHORT,,,,
981254509,24971,5004400,,1,SHORT,,,,
981254959,94070,8995400,,1,SHORT,,,,
